abstract	heterophilic cell adhesion
abstract	regulation of endocytosis
abstract	homophilic cell adhesion
abstract	lamellipodium assembly
abstract	cytoskeleton organization
abstract	positive regulation of NF-kappaB transcription factor activity
abstract	establishment of cell polarity
abstract	apoptosis
complex	Nephrin/NEPH1/Par3/Par6/Atypical PKCs
smallMolecule	DAG
complex	Nephrin/NEPH1/podocin/GRB2
complex	Nephrin/NEPH1/ZO-1
complex	Nephrin/NEPH1
complex	Nephrin/NEPH1/podocin/Cholesterol
complex	PI3K Class IA family
complex	Nephrin/NEPH1/podocin/NCK1-2
complex	RAC1/GDP
complex	Nephrin/NEPH1/podocin/NCK1-2/N-WASP
protein	JNK family
complex	PAK1
smallMolecule	PI-3-4-5-P3
complex	Nephrin/NEPH1/podocin/PLCgamma1
complex	Nephrin/NEPH1/beta Arrestin2
complex	Nephrin/NEPH1/podocin/CD2AP
smallMolecule	PI-4-5-P2
smallMolecule	Ca2+
complex	Nephrin/NEPH1/podocin
complex	Par3/Par6/Atypical PKCs
smallMolecule	IP3
protein	NCK1-2
smallMolecule	Cholesterol
smallMolecule	GDP
smallMolecule	GTP
protein	WASL
protein	TRPC6
protein	TJP1
protein	PLCG1
protein	NPHS2
protein	MAP2K4
protein	JUN
protein	GRB2
protein	FYN
protein	CD2AP
protein	BAD
protein	ARRB2
protein	AKT1
PI3K Class IA family	PAK1	-a>
FYN	Nephrin/NEPH1/beta Arrestin2	component>
Nephrin/NEPH1/podocin/PLCgamma1	IP3	-a>
PI3K Class IA family	PI-3-4-5-P3	-a>
FYN	Nephrin/NEPH1/podocin	-a>
PAK1	MAP2K4	-a>
NCK1-2	Nephrin/NEPH1/podocin/NCK1-2	component>
Nephrin/NEPH1/podocin	Nephrin/NEPH1/podocin/NCK1-2	component>
CD2AP	Nephrin/NEPH1/podocin/CD2AP	component>
Nephrin/NEPH1/podocin	Nephrin/NEPH1/podocin/CD2AP	component>
heterophilic cell adhesion	Nephrin/NEPH1	-a>
BAD	apoptosis	-ap|
Nephrin/NEPH1/podocin	PI3K Class IA family	-a>
homophilic cell adhesion	Nephrin/NEPH1	-a>
GRB2	Nephrin/NEPH1/podocin/GRB2	component>
Nephrin/NEPH1/podocin	Nephrin/NEPH1/podocin/GRB2	component>
Par3/Par6/Atypical PKCs	Nephrin/NEPH1/Par3/Par6/Atypical PKCs	component>
Nephrin/NEPH1	Nephrin/NEPH1/Par3/Par6/Atypical PKCs	component>
PI-3-4-5-P3	AKT1	-a>
JNK family	JUN	-a>
Nephrin/NEPH1/podocin/GRB2	cytoskeleton organization	-ap>
GTP	GDP	-a>
GTP	PAK1	-a>
RAC1/GDP	GDP	-a>
RAC1/GDP	PAK1	-a>
WASL	Nephrin/NEPH1/podocin/NCK1-2/N-WASP	component>
Nephrin/NEPH1/podocin/NCK1-2	Nephrin/NEPH1/podocin/NCK1-2/N-WASP	component>
JNK family	JNK family	-a>
ARRB2	Nephrin/NEPH1/beta Arrestin2	component>
Nephrin/NEPH1	Nephrin/NEPH1/beta Arrestin2	component>
PI-4-5-P2	DAG	-a>
PI-4-5-P2	IP3	-a>
AKT1	BAD	-a>
Nephrin/NEPH1/beta Arrestin2	regulation of endocytosis	-ap>
TJP1	Nephrin/NEPH1/ZO-1	component>
Nephrin/NEPH1	Nephrin/NEPH1/ZO-1	component>
PLCG1	Nephrin/NEPH1/podocin/PLCgamma1	component>
Nephrin/NEPH1/podocin	Nephrin/NEPH1/podocin/PLCgamma1	component>
PI-4-5-P2	PI-3-4-5-P3	-a>
NPHS2	Nephrin/NEPH1/podocin	component>
Nephrin/NEPH1	Nephrin/NEPH1/podocin	component>
Nephrin/NEPH1/Par3/Par6/Atypical PKCs	establishment of cell polarity	-ap>
IP3	Ca2+	-a>
Nephrin/NEPH1/podocin	Nephrin/NEPH1/podocin	-a>
Nephrin/NEPH1/podocin/NCK1-2/N-WASP	cytoskeleton organization	-ap>
Cholesterol	Nephrin/NEPH1/podocin/Cholesterol	-a>
Nephrin/NEPH1/podocin	Nephrin/NEPH1/podocin/Cholesterol	-a>
MAP2K4	JNK family	-a>
Nephrin/NEPH1/Par3/Par6/Atypical PKCs	positive regulation of NF-kappaB transcription factor activity	-ap|
PAK1	lamellipodium assembly	-ap>
Nephrin/NEPH1/podocin/CD2AP	PI3K Class IA family	-a>
Nephrin/NEPH1/podocin/Cholesterol	TRPC6	-a>
Nephrin/NEPH1/podocin	FYN	-a>
