abstract	regulation of actin nucleation
abstract	regulation of cell-cell adhesion
abstract	adherens junction assembly
abstract	positive regulation of S phase of mitotic cell cycle
abstract	regulation of calcium-dependent cell-cell adhesion
abstract	homophilic cell adhesion
abstract	regulation of heterotypic cell-cell adhesion
abstract	actin cytoskeleton organization
abstract	clathrin coat assembly
complex	CDC42/GDP
complex	Rap1/GTP
complex	ABI1/Sra1/Nap1
complex	Rap1/GTP/I-afadin
complex	alphaE/beta7 Integrin
complex	E-cadherin/Ca2+/gamma catenin/alpha catenin/p120 catenin
protein	KLEIP
complex	PIP5K1C/AP1M1
complex	CDC42/GTP/IQGAP1
complex	RAP1/GDP
complex	RhoA/GDP
complex	E-cadherin(dimer)/Ca2+
complex	E-cadherin/gamma catenin/alpha catenin/beta7/alphaE Integrin
complex	E-cadherin/beta catenin
complex	CK2
complex	RAC1/GDP
complex	E-cadherin/beta catenin/alpha catenin
complex	CDC42/GTP
complex	E-cadherin/beta catenin/alpha catenin/beta7/alphaE Integrin
complex	ARF6/GTP/NME1/Tiam1
complex	E-cadherin/gamma catenin
complex	E-cadherin/beta catenin/alpha catenin/p120 catenin
complex	PAK1
smallMolecule	PI-3-4-5-P3
complex	E-cadherin/gamma catenin/alpha catenin
complex	E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin
complex	Arp2/3 complex
complex	p120 catenin/RhoA/GDP
smallMolecule	PI-4-5-P2
complex	PI3K
complex	E-cadherin/Ca2+/beta catenin/alpha catenin
smallMolecule	Ca2+
complex	RAC1/GTP/IQGAP1
protein	Cortactin
smallMolecule	GDP
smallMolecule	GTP
protein	WASF2
protein	VAV2
protein	TJP1
protein	SRC
protein	SRA1
protein	RAPGEF1
protein	PIP5K1C
protein	NCKAP1
protein	IQGAP1
protein	ENAH
protein	DLG1
protein	CTNND1
protein	CTNNA1
protein	CRK
protein	CCND1
protein	AP1M1
protein	AKT1
protein	ABI1
CK2	E-cadherin/beta catenin/alpha catenin	component>
homophilic cell adhesion	E-cadherin/Ca2+/beta catenin/alpha catenin	-a>
PAK1	ABI1/Sra1/Nap1	component>
homophilic cell adhesion	E-cadherin/Ca2+/gamma catenin/alpha catenin/p120 catenin	component>
CDC42/GTP/IQGAP1	E-cadherin/beta catenin	-a|
RAC1/GTP/IQGAP1	E-cadherin/beta catenin	-a|
ARF6/GTP/NME1/Tiam1	PAK1	-a|
VAV2	PAK1	-a>
PI3K	PI-3-4-5-P3	-a>
Rap1/GTP	CDC42/GTP	-a>
RAPGEF1	Rap1/GTP	-a>
Rap1/GTP/I-afadin	E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	component>
PI3K	VAV2	-a>
Arp2/3 complex	regulation of actin nucleation	-ap>
TJP1	adherens junction assembly	-ap>
SRC	PI3K	-a>
E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	SRC	-a>
ABI1/Sra1/Nap1	WASF2	-a>
CTNNA1	E-cadherin/gamma catenin/alpha catenin	component>
E-cadherin/gamma catenin	E-cadherin/gamma catenin/alpha catenin	component>
AKT1	AKT1	-a>
Rap1/GTP	PI3K	-a>
alphaE/beta7 Integrin	E-cadherin/gamma catenin/alpha catenin/beta7/alphaE Integrin	component>
E-cadherin/gamma catenin/alpha catenin	E-cadherin/gamma catenin/alpha catenin/beta7/alphaE Integrin	component>
Ca2+	E-cadherin(dimer)/Ca2+	component>
E-cadherin/beta catenin/alpha catenin/p120 catenin	E-cadherin(dimer)/Ca2+	component>
PIP5K1C/AP1M1	E-cadherin/beta catenin	-a>
WASF2	Arp2/3 complex	-a>
PAK1	KLEIP	-a>
Ca2+	E-cadherin/Ca2+/beta catenin/alpha catenin	-a>
E-cadherin/beta catenin/alpha catenin	E-cadherin/Ca2+/beta catenin/alpha catenin	-a>
IQGAP1	CDC42/GTP/IQGAP1	component>
