abstract	bone resorption
abstract	ruffle organization
abstract	endothelial cell migration
complex	Rho family GTPase
protein	MMP9_107-707
smallMolecule	ATP
protein	ERK1-2-active
complex	PIP5K1A
protein	ERK1-2
smallMolecule	1-phosphatidyl-1D-myo-inositol 4-phosphate
smallMolecule	ADP
complex	CD44/Rho Family GTPase/ROCK2
complex	Gelsolin/PI-4-5-P2
protein	uPA
complex	RAC1/GDP
complex	Rho Family GTPase-active
complex	Gelsolin/PI-3-4-5-P3/PI3K
complex	PAK1
complex	AP1
smallMolecule	PI-3-4-5-P3
complex	Gelsolin/PI-3-4-5-P3
protein	MEKK1
complex	PYK2/p130Cas
protein	Actin
complex	Gelsolin/Actin
complex	NF kappa B1 p50/RelA/I kappa B alpha
complex	alphaV/beta3 Integrin/Osteopontin
protein	NIK
complex	IKK alpha homodimer
complex	alphav/beta3 Integrin/Osteopontin/Src
smallMolecule	PI-4-5-P2
complex	PI3K
complex	alphaV/beta3 Integrin
complex	NF kappa B1 p50/RelA
protein	VAV3
protein	SYK
protein	SPP1
protein	ROCK2
protein	NFKBIA
protein	MMP2
protein	MAPK8
protein	ILK
protein	GSN
protein	CD44
ERK1-2-active	NF kappa B1 p50/RelA	component>
IKK alpha homodimer	NF kappa B1 p50/RelA	component>
SYK	PYK2/p130Cas	-a>
alphav/beta3 Integrin/Osteopontin/Src	PYK2/p130Cas	-a>
alphaV/beta3 Integrin/Osteopontin	Rho Family GTPase-active	-a>
PI3K	PI-3-4-5-P3	-a>
NIK	ERK1-2-active	-a>
PIP5K1A	PI-4-5-P2	-a>
NIK	IKK alpha homodimer	-a>
VAV3	PAK1	-a>
AP1	MMP2	-t>
NF kappa B1 p50/RelA/I kappa B alpha	NFKBIA	component>
NF kappa B1 p50/RelA/I kappa B alpha	NF kappa B1 p50/RelA	component>
PI3K	Gelsolin/PI-3-4-5-P3/PI3K	component>
Gelsolin/PI-3-4-5-P3	Gelsolin/PI-3-4-5-P3/PI3K	component>
SPP1	alphaV/beta3 Integrin/Osteopontin	component>
alphaV/beta3 Integrin	alphaV/beta3 Integrin/Osteopontin	component>
Rho Family GTPase-active	PIP5K1A	-a>
PYK2/p130Cas	PYK2/p130Cas	-a>
MMP2	endothelial cell migration	-ap>
uPA	endothelial cell migration	-ap>
NF kappa B1 p50/RelA	MMP9_107-707	-a>
uPA	MMP9_107-707	-a>
Gelsolin/PI-3-4-5-P3	ruffle organization	-ap>
PYK2/p130Cas	bone resorption	-ap>
SYK	VAV3	-a>
Rho family GTPase	Rho Family GTPase-active	-a>
MAPK8	AP1	-a>
Gelsolin/PI-3-4-5-P3/PI3K	ruffle organization	-ap>
PI-4-5-P2	PI-3-4-5-P3	-a>
alphaV/beta3 Integrin/Osteopontin	MEKK1	-a>
alphaV/beta3 Integrin/Osteopontin	ILK	-t>
ERK1-2	ERK1-2-active	-a>
ATP	ADP	-a>
ATP	PI-4-5-P2	-a>
1-phosphatidyl-1D-myo-inositol 4-phosphate	ADP	-a>
1-phosphatidyl-1D-myo-inositol 4-phosphate	PI-4-5-P2	-a>
Rho Family GTPase-active	PI3K	-a>
alphaV/beta3 Integrin/Osteopontin	SYK	-a>
CD44/Rho Family GTPase/ROCK2	bone resorption	-ap>
MEKK1	MAPK8	-a>
ERK1-2-active	uPA	-t>
PI-4-5-P2	Actin	component>
PI-4-5-P2	Gelsolin/PI-4-5-P2	component>
Gelsolin/Actin	Actin	component>
Gelsolin/Actin	Gelsolin/PI-4-5-P2	component>
ILK	AP1	-a>
IKK alpha homodimer	IKK alpha homodimer	-a>
PI-3-4-5-P3	Gelsolin/PI-3-4-5-P3	component>
GSN	Gelsolin/PI-3-4-5-P3	component>
MMP9_107-707	endothelial cell migration	-ap>
ROCK2	CD44/Rho Family GTPase/ROCK2	component>
Rho Family GTPase-active	CD44/Rho Family GTPase/ROCK2	component>
CD44	CD44/Rho Family GTPase/ROCK2	component>
alphaV/beta3 Integrin/Osteopontin	NIK	-a>
AP1	uPA	-t>
RAC1/GDP	PAK1	-a>
