protein	ZAK
protein	PKN1
protein	SNTA1
protein	MAPK12
protein	MAP2K6
protein	MAP2K3
protein	CCND1
protein	STMN1
protein	MAPT
protein	MAPK13
protein	EEF2K
complex	p38 gamma/SNTA1
abstract	response to hypoxia
abstract	hyperosmotic response
abstract	G2/M transition checkpoint
response to hypoxia	CCND1	-ap>
response to hypoxia	MAPT	-ap>
hyperosmotic response	ZAK	-ap>
ZAK	MAP2K6	-a>
PKN1	ZAK	-a>
SNTA1	p38 gamma/SNTA1	component>
MAPK12	p38 gamma/SNTA1	component>
MAPK12	CCND1	-a>
MAPK12	MAPT	-a>
MAPK12	G2/M transition checkpoint	-ap>
MAP2K6	MAPK12	-a>
MAP2K3	MAPK13	-a>
MAPK13	STMN1	-a>
MAPK13	MAPT	-a>
MAPK13	EEF2K	-a>
